,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
6405,-0.3804431018824729,0.6434539837230993,-0.12793261889675966,-0.4998436945808654,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,0.4257588266582195,-0.6765497890754948,0.7830068736134084,-0.18492003932929055,98029,47.5664,-121.999,529000.0
937,-0.3804431018824729,0.6434539837230993,0.05751363026126451,-0.2958803056623287,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,-0.5316559621043938,1.028981537413353,0.8169779772604224,-0.18492003932929055,98042,47.3545,-122.15799999999999,253000.0
15201,-1.5421422234490882,-0.0745319039322177,-0.724009848333266,-0.5609833254479716,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,0.8846870853251483,-0.5316559621043938,-0.6765497890754948,-0.7117216868552109,-0.18492003932929055,98117,47.6844,-122.39200000000001,545000.0
13083,-0.3804431018824729,0.2844610398954408,0.3886676466148791,2.227536963146764,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,0.8846870853251483,0.4257588266582195,0.5965933137964621,0.34138252620222537,-0.18492003932929055,98042,47.3451,-122.094,390000.0
16852,-2.7038413450157033,-0.7925177915875347,-1.230013185321589,-0.4701134378910448,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,-0.5316559621043938,-0.6765497890754948,-0.9495194123843094,-0.18492003932929055,98055,47.4759,-122.212,199950.0
5662,0.7812560196841424,0.6434539837230993,3.051145938097941,0.3196644109189405,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,3.2980031929460596,1.437348193051528,0.9868334954954928,-0.18492003932929055,98006,47.5588,-122.124,1200000.0
2134,0.7812560196841424,0.2844610398954408,1.408622016984012,-0.4503591145091042,0.9636275815052753,-0.07276368014980027,3.9492815965177623,0.8846870853251483,1.383173615420833,1.6295207368812572,-1.4930570707365345,-0.18492003932929055,98105,47.6565,-122.27799999999999,1740000.0
4965,-0.3804431018824729,0.6434539837230993,-0.3133788680547839,-0.8178883010301091,2.8126041831424278,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,0.4257588266582195,-0.6765497890754948,1.2925734283186194,-0.18492003932929055,98116,47.5891,-122.387,568000.0
15929,-0.3804431018824729,-0.0745319039322177,-0.724009848333266,0.28351399912998915,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,0.8846870853251483,-0.5316559621043938,-0.6765497890754948,-0.4399528576790983,-0.18492003932929055,98056,47.4903,-122.178,305000.0
21154,0.7812560196841424,0.6434539837230993,-0.029911030056089746,-0.4429512432408765,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,0.4257588266582195,-0.6765497890754948,1.2586023246716054,-0.18492003932929055,98001,47.2606,-122.25299999999999,235245.0
2774,-0.3804431018824729,-0.7925177915875347,-1.2803485958073386,0.04349897003941085,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,0.8846870853251483,-0.5316559621043938,-0.6765497890754948,0.10358480067312688,-0.18492003932929055,98003,47.2881,-122.294,212000.0
10448,0.7812560196841424,-0.0745319039322177,0.5343754138104696,0.12251626356717325,0.9636275815052753,-0.07276368014980027,2.5387835808455574,-0.6417619648062104,0.4257588266582195,-0.6765497890754948,-1.5270281743835488,-0.18492003932929055,98118,47.5682,-122.275,855000.0
11257,-0.3804431018824729,-0.0745319039322177,0.017775148298830756,-0.6479023483285102,0.03913928068669889,-0.07276368014980027,2.5387835808455574,2.411136135456507,0.4257588266582195,0.6686580177326106,-1.4590859670895204,-0.18492003932929055,98144,47.5891,-122.29299999999999,619000.0
3119,-0.3804431018824729,-0.43352484775987615,0.6138523777353371,-0.37134182098134183,-0.8853490201318774,-0.07276368014980027,3.9492815965177623,0.8846870853251483,0.4257588266582195,2.0138658245407157,-0.8476061014432672,-0.18492003932929055,98199,47.6474,-122.412,765000.0
19825,0.7812560196841424,0.6434539837230993,1.076143384564983,-0.5530815960951954,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,-0.5316559621043938,-0.6765497890754948,1.2586023246716054,-0.18492003932929055,98001,47.3059,-122.28,272000.0
13139,0.7812560196841424,0.6434539837230993,0.4019138072690237,1.7661747405615413,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,0.4257588266582195,-0.6765497890754948,0.8849201845544505,-0.18492003932929055,98072,47.7628,-122.12299999999999,575000.0
1210,-0.3804431018824729,-1.5105036792428517,-1.0684100253410251,-0.509622084654926,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,-0.5316559621043938,0.04409725028599024,-0.6437794795611828,-0.18492003932929055,98199,47.6584,-122.391,470000.0
13278,-0.3804431018824729,1.3614398713784162,-0.28688654674649466,-0.7354140009105071,0.9636275815052753,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,-0.5316559621043938,0.18822665815828724,1.2925734283186194,-0.18492003932929055,98107,47.6666,-122.37,605000.0
6417,0.7812560196841424,1.0024469275507577,0.454898449885602,0.2773901588815876,-0.8853490201318774,-0.07276368014980027,-0.2822124504988524,-0.6417619648062104,0.4257588266582195,0.8848521295410561,-0.0662707175619435,-0.18492003932929055,98133,47.7373,-122.35,445000.0
